TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.0217931,0.648077,0.0951594,0.217286,0.346523,5.37407e-9
0.02,0.0218382,0.63847,0.105329,0.218007,0.339952,1.31703e-5
0.04,0.307578,0.64675,0.172675,0.571232,1.13575,5.37504e-5
0.06,0.307142,0.640141,0.171406,0.570836,1.12224,1.21744e-4
0.08,0.301763,0.628596,0.197815,0.604894,1.1002,2.17151e-4
0.1,0.297966,0.616958,0.199137,0.600743,1.07914,3.39967e-4
0.12,0.29256,0.617958,0.201114,0.593438,1.06065,4.90189e-4
0.14,0.287887,0.606032,0.197228,0.597861,1.04153,6.67813e-4
0.16,0.29045,0.594263,0.207763,0.590276,1.02519,8.72834e-4
0.18,0.287709,0.589319,0.23165,0.586297,1.04894,0.00110525
0.2,0.282015,0.57765,0.228201,0.575694,1.02817,0.00136504
0.22,0.277882,0.571151,0.226768,0.569165,1.01061,0.00165222
0.24,0.285735,0.561763,0.226167,0.561732,1.002,0.00196677
0.26,0.316708,0.552656,0.290603,0.569135,1.04457,0.00230868
0.28,0.314248,0.541892,0.317372,0.574037,1.02408,0.00267794
0.3,0.589859,0.534118,0.330578,0.61015,1.27079,0.00307454
0.32,0.661529,0.540162,0.32922,0.598141,1.27929,0.00349847
0.34,0.697618,0.533342,0.335949,0.595882,1.40828,0.00394972
0.36,0.683809,0.522963,0.330314,0.587281,1.38045,0.00442828
0.38,0.686551,0.513053,0.329853,0.58423,1.35805,0.00493414
0.4,0.674591,0.503258,0.327043,0.574622,1.33705,0.00546727
0.42,0.6613,0.494291,0.320708,0.563336,1.31173,0.00602767
0.44,0.709101,0.48582,0.329433,0.559344,1.3227,0.00661532
0.46,0.696456,0.476202,0.330015,0.554088,1.29716,0.00723021
0.48,0.684142,0.467191,0.325305,0.544441,1.27265,0.00787231
0.5,0.671485,0.457957,0.331214,0.533876,1.24907,0.00854161
0.52,0.662818,0.449321,0.338894,0.534471,1.23118,0.0092381
0.54,0.74354,0.446713,0.35816,0.564681,1.2535,0.00996174
0.56,0.732164,0.442632,0.351466,0.561423,1.24044,0.0107125
0.58,0.720843,0.433926,0.347278,0.551028,1.21765,0.0114904
0.6,0.714324,0.426233,0.341089,0.541968,1.19361,0.0122954
0.62,0.711618,0.426679,0.339283,0.595349,1.17027,0.0131275
0.64,0.698199,0.41848,0.338553,0.585709,1.1477,0.0139867
0.66,0.685331,0.410313,0.334425,0.57738,1.12574,0.0148729
0.68,0.709096,0.406939,0.33291,0.605475,1.18087,0.015786
0.7,0.718554,0.3995,0.327457,0.595715,1.33894,0.0167262
0.72,0.708972,0.393012,0.321028,0.585024,1.31694,0.0176933
0.74,0.712121,0.386653,0.323035,0.586833,1.3052,0.0186874
0.76,0.703737,0.379047,0.344619,0.59062,1.28156,0.0197083
0.78,0.690172,0.373361,0.362982,0.581339,1.26684,0.0207562
0.8,0.75245,0.369977,0.366737,0.583416,1.27154,0.0218308
0.82,0.748834,0.362761,0.359629,0.578594,1.2526,0.0229323
0.84,0.753335,0.355586,0.357192,0.568402,1.24417,0.0240606
0.86,0.74098,0.35235,0.360218,0.568229,1.22106,0.0252157
0.88,0.728871,0.346483,0.359497,0.568687,1.19939,0.0263974
0.9,0.718859,0.359884,0.381104,0.572014,1.20608,0.0276059
0.92,0.704628,0.3529,0.378832,0.563869,1.1822,0.028841
0.94,0.80662,0.430289,0.381951,0.589828,1.72672,0.0301027
0.96,0.791267,0.424614,0.385468,0.608519,1.69366,0.0313911
0.98,0.827684,0.42862,0.391722,0.627803,1.68573,0.0327059
1,0.814709,0.42197,0.40304,0.635249,1.6544,0.0340473
1.02,0.805958,0.417435,0.399424,0.633351,1.63007,0.0354152
1.04,0.790272,0.409178,0.4027,0.622665,1.59795,0.0368096
1.06,0.777941,0.407148,0.39549,0.614752,1.56703,0.0382303
1.08,0.762864,0.401022,0.393421,0.606103,1.53687,0.0396774
1.1,0.749218,0.428066,0.38917,0.598371,1.50699,0.0411508
1.12,0.734912,0.419657,0.390294,0.597459,1.47761,0.0426505
1.14,0.727745,0.411477,0.386024,0.590516,1.45244,0.0441765
1.16,0.714528,0.403391,0.381148,0.590593,1.42452,0.0457287
1.18,0.77144,0.40834,0.376705,0.58194,1.48728,0.047307
1.2,0.758802,0.410316,0.371068,0.571035,1.46248,0.0489115
1.22,0.74833,0.453572,0.364218,0.561753,1.43572,0.050542
1.24,0.755045,0.445577,0.378307,0.559948,1.43151,0.0521985
1.26,0.742411,0.437531,0.375531,0.571273,1.40933,0.0538811
1.28,0.732629,0.428867,0.380392,0.573999,1.38765,0.0555895
1.3,0.719796,0.421922,0.381897,0.565909,1.3613,0.0573239
1.32,0.705555,0.413649,0.380999,0.578269,1.33531,0.0590841
1.34,0.693333,0.405543,0.379183,0.569925,1.30991,0.0608701
1.36,0.712763,0.401981,0.394579,0.57806,1.29536,0.0626819
1.38,0.698934,0.395148,0.386824,0.566869,1.27005,0.0645193
1.4,0.68989,0.387346,0.383316,0.566059,1.24775,0.0663824
1.42,0.688684,0.380467,0.394203,0.573574,1.2495,0.0682711
1.44,0.751013,0.37579,0.402038,0.583143,1.30046,0.0701854
1.46,0.737495,0.377633,0.406518,0.576628,1.27569,0.0721251
1.48,0.726303,0.37027,0.420869,0.566066,1.25633,0.0740902
1.5,0.72156,0.363778,0.425566,0.577578,1.24794,0.0760808
1.52,0.720415,0.363776,0.428653,0.567472,1.22575,0.0780967
1.54,0.706566,0.358429,0.430274,0.556813,1.21436,0.0801378
1.56,0.695777,0.351879,0.429174,0.551891,1.19368,0.0822042
1.58,0.684927,0.345061,0.427995,0.548468,1.17454,0.0842957
1.6,0.674527,0.350647,0.429203,0.546436,1.15405,0.0864124
1.62,0.663014,0.344903,0.436484,0.553117,1.13932,0.0885541
1.64,0.654438,0.338778,0.431893,0.554043,1.11937,0.0907207
1.66,0.694335,0.334932,0.42877,0.563738,1.14455,0.0929123
1.68,0.680913,0.348469,0.426928,0.573554,1.12198,0.0951288
1.7,0.667523,0.343261,0.419255,0.573106,1.10009,0.0973701
1.72,0.697171,0.3372,0.411427,0.569693,1.09215,0.0996361
1.74,0.687369,0.332209,0.408797,0.563101,1.07379,0.101927
