TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.403782,0.700179,0.740415,0.373576,0.764254,5.37407e-9
0.02,0.405637,0.694717,0.787721,0.378988,0.754092,1.31703e-5
0.04,0.401773,0.681083,0.772978,0.376067,0.742699,5.37504e-5
0.06,0.394961,0.671504,0.798702,0.410195,0.738195,1.21744e-4
0.08,0.387396,0.658211,0.784667,0.409063,0.723647,2.17151e-4
0.1,0.380421,0.666597,0.770063,0.40899,0.712057,3.39967e-4
0.12,0.374904,0.65395,0.764197,0.417299,0.698284,4.90189e-4
0.14,0.369045,0.683903,0.750819,0.412046,0.685994,6.67813e-4
0.16,0.369639,0.672001,0.73896,0.446597,0.67942,8.72834e-4
0.18,0.364184,0.659229,0.739819,0.448385,0.668415,0.00110525
0.2,0.357147,0.646281,0.782304,0.480605,0.657594,0.00136504
0.22,0.350131,0.637166,0.769189,0.473968,0.646379,0.00165222
0.24,0.344299,0.6254,0.784288,0.496372,0.635726,0.00196677
0.26,0.337797,0.618178,0.770595,0.492788,0.62532,0.00230868
0.28,0.332172,0.606408,0.759671,0.493785,0.615074,0.00267794
0.3,0.329282,0.628171,0.752067,0.518731,0.608319,0.00307454
0.32,0.326557,0.616814,0.740113,0.513207,0.600674,0.00349847
0.34,0.320093,0.606556,0.725523,0.503085,0.588917,0.00394972
0.36,0.314824,0.597639,0.714739,0.500971,0.57843,0.00442828
0.38,0.311521,0.605783,0.707279,0.507434,0.591497,0.00493414
0.4,0.307232,0.596129,0.708835,0.505542,0.580138,0.00546727
0.42,0.303753,0.585379,0.711212,0.517073,0.571735,0.00602767
0.44,0.297741,0.57379,0.723328,0.522601,0.560512,0.00661532
0.46,0.312865,0.56923,0.728008,0.547903,0.571749,0.00723021
0.48,0.3106,0.557981,0.717915,0.559986,0.570767,0.00787231
0.5,0.312631,0.560757,0.725692,0.598337,0.56396,0.00854161
0.52,0.308345,0.55636,0.711628,0.59262,0.553524,0.0092381
0.54,0.414113,0.546593,0.799264,0.661425,0.605437,0.00996174
0.56,0.439363,0.537927,0.784206,0.689651,0.60247,0.0107125
0.58,0.433298,0.532287,0.76966,0.683499,0.590863,0.0114904
0.6,0.429524,0.525221,0.754609,0.67595,0.58227,0.0122954
0.62,0.421083,0.515005,0.752627,0.698489,0.570914,0.0131275
0.64,0.442663,0.504987,0.772605,0.727204,0.619634,0.0139867
0.66,0.444492,0.505056,0.778793,0.737152,0.609846,0.0148729
0.68,0.437158,0.495201,0.773553,0.745248,0.598137,0.015786
0.7,0.447526,0.486172,0.790865,0.738527,0.611693,0.0167262
0.72,0.439184,0.477065,0.777228,0.727905,0.599754,0.0176933
0.74,0.431274,0.467998,0.766787,0.730617,0.588003,0.0186874
0.76,0.434817,0.468037,0.757511,0.735294,0.582645,0.0197083
0.78,0.438837,0.463346,0.773735,0.749886,0.573661,0.0207562
0.8,0.439734,0.47367,0.778097,0.757042,0.571344,0.0218308
0.82,0.440802,0.474184,0.76513,0.743363,0.568967,0.0229323
0.84,0.435208,0.466774,0.759751,0.736063,0.559878,0.0240606
0.86,0.461018,0.459617,0.76883,0.72723,0.564207,0.0252157
0.88,0.453649,0.453754,0.757072,0.716106,0.553779,0.0263974
0.9,0.4454,0.464649,0.777376,0.745233,0.570311,0.0276059
0.92,0.490435,0.458536,0.776854,0.739223,0.635917,0.028841
0.94,0.483467,0.45963,0.777512,0.728234,0.632164,0.0301027
0.96,0.476532,0.454578,0.768014,0.715864,0.622665,0.0313911
0.98,0.476211,0.44573,0.763989,0.7187,0.621055,0.0327059
1,0.495902,0.437769,0.759407,0.717781,0.632341,0.0340473
1.02,0.486102,0.432454,0.746673,0.709845,0.619829,0.0354152
1.04,0.502528,0.424151,0.740418,0.708688,0.6334,0.0368096
1.06,0.492838,0.416071,0.732856,0.728156,0.621111,0.0382303
1.08,0.500483,0.40798,0.740282,0.735787,0.614265,0.0396774
1.1,0.505016,0.404923,0.774015,0.726258,0.609145,0.0411508
1.12,0.495077,0.397687,0.759033,0.715043,0.597186,0.0426505
1.14,0.485274,0.389967,0.751718,0.704857,0.58539,0.0441765
1.16,0.476075,0.396562,0.748625,0.712561,0.574571,0.0457287
1.18,0.486357,0.410962,0.745455,0.731614,0.577606,0.047307
1.2,0.483012,0.414576,0.736102,0.719065,0.569853,0.0489115
1.22,0.479174,0.428741,0.727785,0.723057,0.562592,0.050542
1.24,0.603429,0.422621,0.738856,0.710731,0.713507,0.0521985
1.26,0.591986,0.419867,0.725221,0.702171,0.701135,0.0538811
1.28,0.580875,0.413372,0.71151,0.705164,0.68772,0.0555895
1.3,0.569376,0.405217,0.725599,0.718261,0.674107,0.0573239
1.32,0.558311,0.397647,0.720818,0.707651,0.661059,0.0590841
1.34,0.550048,0.389804,0.712656,0.705216,0.651705,0.0608701
1.36,0.540469,0.384091,0.72513,0.726206,0.639824,0.0626819
1.38,0.530729,0.378541,0.718522,0.712072,0.627822,0.0645193
1.4,0.534537,0.376918,0.708229,0.74287,0.642717,0.0663824
1.42,0.613531,0.376138,0.713634,0.728519,0.75549,0.0682711
1.44,0.606923,0.368961,0.724004,0.731337,0.744827,0.0701854
1.46,0.59609,0.362713,0.716462,0.719598,0.730218,0.0721251
1.48,0.602532,0.358764,0.710912,0.715711,0.723613,0.0740902
1.5,0.590713,0.351838,0.703419,0.703394,0.709356,0.0760808
1.52,0.723308,0.347388,0.694901,0.692392,0.777074,0.0780967
1.54,0.721678,0.340771,0.683002,0.681412,0.76694,0.0801378
1.56,0.709449,0.345085,0.672749,0.67922,0.75377,0.0822042
1.58,0.695449,0.338822,0.669876,0.679273,0.738904,0.0842957
1.6,0.690689,0.333512,0.659178,0.671782,0.7277,0.0864124
1.62,0.684289,0.339494,0.647704,0.706319,0.73108,0.0885541
1.64,0.684069,0.362812,0.638212,0.715645,0.74377,0.0907207
1.66,0.675679,0.36304,0.630242,0.712527,0.730293,0.0929123
1.68,0.664147,0.355969,0.651005,0.698798,0.717531,0.0951288
1.7,0.658757,0.349406,0.645102,0.694708,0.713594,0.0973701
1.72,0.645744,0.344417,0.632939,0.683113,0.699487,0.0996361
1.74,0.633274,0.337609,0.6301,0.670866,0.685961,0.101927
1.76,0.622749,0.331646,0.621107,0.662645,0.675102,0.104242
1.78,0.677881,0.325096,0.621248,0.676342,0.67684,0.106582
1.8,0.675189,0.318712,0.612786,0.665187,0.671604,0.108946
1.82,0.662088,0.314406,0.607391,0.652762,0.659649,0.111335
1.84,0.649784,0.311861,0.599754,0.646973,0.646638,0.113748
1.86,0.645424,0.306317,0.598371,0.642861,0.633889,0.116186
1.88,0.632926,0.300425,0.595335,0.632887,0.623946,0.118648
1.9,0.643025,0.303594,0.588852,0.646523,0.646946,0.121133
1.92,0.641605,0.307296,0.607122,0.652265,0.650058,0.123643
1.94,0.632285,0.311004,0.599684,0.641528,0.643388,0.126177
1.96,0.631678,0.33583,0.588633,0.653804,0.644068,0.128735
1.98,0.621459,0.351338,0.579464,0.653373,0.632762,0.131317
2,0.60925,0.356738,0.577549,0.645431,0.620597,0.133923
2.02,0.647151,0.370068,0.567466,0.637251,0.690221,0.136552
2.04,0.648949,0.45522,0.572518,0.631999,0.686271,0.139205
2.06,0.647968,0.448723,0.572806,0.633167,0.677414,0.141882
2.08,0.635441,0.50558,0.563937,0.624515,0.66436,0.144582
