TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.0363281,0.266561,0.735214,0.879184,0.280785,5.37407e-9
0.02,0.0366837,0.261553,0.721454,0.865434,0.276434,1.31703e-5
0.04,0.0364324,0.25728,0.715509,0.85058,0.271362,5.37504e-5
0.06,0.0362572,0.253906,0.702235,0.834357,0.266065,1.21744e-4
0.08,0.0361828,0.254334,0.689608,0.819756,0.262065,2.17151e-4
0.1,0.0361514,0.249337,0.690371,0.813773,0.256904,3.39967e-4
0.12,0.0550104,0.249778,0.69703,0.799736,0.283302,4.90189e-4
0.14,0.173169,0.341631,0.698568,0.800922,0.394459,6.67813e-4
0.16,0.271854,0.369636,0.688582,0.794321,0.464767,8.72834e-4
0.18,0.288828,0.36829,0.685547,0.783511,0.47197,0.00110525
0.2,0.283427,0.38048,0.681279,0.77794,0.463484,0.00136504
0.22,0.284107,0.424877,0.683177,0.799983,0.467237,0.00165222
0.24,0.284886,0.417373,0.694425,0.798638,0.462608,0.00196677
0.26,0.329915,0.434525,0.688589,0.839362,0.480974,0.00230868
0.28,0.32411,0.42735,0.679857,0.827936,0.474029,0.00267794
0.3,0.328661,0.421628,0.689483,0.864281,0.467102,0.00307454
0.32,0.336879,0.451602,0.677516,0.86043,0.46904,0.00349847
0.34,0.344978,0.443592,0.665,0.863238,0.463206,0.00394972
0.36,0.338201,0.435229,0.665707,0.85679,0.456158,0.00442828
0.38,0.332281,0.426779,0.678805,0.885525,0.447479,0.00493414
0.4,0.33212,0.418791,0.680983,0.885343,0.448414,0.00546727
0.42,0.32736,0.410894,0.6687,0.868722,0.442966,0.00602767
0.44,0.321622,0.411482,0.655619,0.853052,0.434766,0.00661532
0.46,0.318297,0.403829,0.648838,0.845371,0.430502,0.00723021
0.48,0.336463,0.395896,0.650119,0.833915,0.442612,0.00787231
0.5,0.331866,0.388135,0.658185,0.82496,0.565121,0.00854161
0.52,0.38901,0.402013,0.651818,0.843775,0.557512,0.0092381
0.54,0.386966,0.395263,0.646412,0.845768,0.573,0.00996174
0.56,0.379912,0.387438,0.646628,0.848188,0.562123,0.0107125
0.58,0.376952,0.383756,0.634008,0.834641,0.579847,0.0114904
0.6,0.370271,0.376544,0.635098,0.836105,0.569481,0.0122954
0.62,0.417578,0.372318,0.630194,0.864656,0.605617,0.0131275
0.64,0.410111,0.3725,0.64454,0.902198,0.599055,0.0139867
0.66,0.402642,0.365728,0.64851,0.93692,0.592277,0.0148729
0.68,0.397056,0.363529,0.63604,0.922721,0.582624,0.015786
0.7,0.393881,0.35634,0.630965,0.930766,0.586199,0.0167262
0.72,0.419952,0.357711,0.644599,0.93133,0.583256,0.0176933
0.74,0.419298,0.388299,0.649388,0.95834,0.615484,0.0186874
0.76,0.417087,0.391774,0.637189,0.942194,0.612839,0.0197083
0.78,0.409159,0.384101,0.64667,0.924392,0.60176,0.0207562
0.8,0.432606,0.381207,0.635197,0.922818,0.626702,0.0218308
0.82,0.43325,0.376629,0.668247,0.932884,0.858522,0.0229323
0.84,0.450678,0.369742,0.664341,0.942312,0.850001,0.0240606
0.86,0.477814,0.362491,0.656326,0.988185,0.845836,0.0252157
0.88,0.468428,0.369393,0.643572,0.970663,0.829164,0.0263974
0.9,0.507693,0.362387,0.642489,0.963211,0.853601,0.0276059
0.92,0.501956,0.355226,0.65901,0.952779,0.838441,0.028841
0.94,0.492935,0.358191,0.672678,0.977392,0.823434,0.0301027
0.96,0.580836,0.361731,0.684282,1.02422,0.902804,0.0313911
0.98,0.569337,0.35457,0.671374,1.00418,0.884978,0.0327059
1,0.561952,0.347638,0.658211,0.984569,0.871903,0.0340473
1.02,0.569194,0.364951,0.653074,0.975982,0.879255,0.0354152
1.04,0.558071,0.366494,0.640148,0.956701,0.862048,0.0368096
1.06,0.547165,0.359482,0.632024,0.943524,0.84511,0.0382303
1.08,0.591951,0.361087,0.621562,0.93647,0.855627,0.0396774
1.1,0.581214,0.357094,0.61535,0.925345,0.843462,0.0411508
1.12,0.608467,0.353068,0.625165,0.953808,0.848116,0.0426505
1.14,0.597896,0.346255,0.616875,0.944056,0.833029,0.0441765
1.16,0.58637,0.344308,0.606762,0.925884,0.817469,0.0457287
1.18,0.578611,0.337595,0.597696,0.913033,0.808255,0.047307
1.2,0.573464,0.33522,0.596119,0.907956,0.851089,0.0489115
1.22,0.567065,0.328715,0.620854,0.911585,0.835631,0.050542
1.24,0.561136,0.335487,0.613488,0.898352,0.830053,0.0521985
1.26,0.550377,0.329681,0.606078,0.890744,0.813873,0.0538811
1.28,0.543674,0.325095,0.598154,0.874517,0.800966,0.0555895
1.3,0.581279,0.325823,0.599444,0.904502,0.817111,0.0573239
1.32,0.569798,0.319378,0.588093,0.889689,0.801098,0.0590841
1.34,0.580501,0.313091,0.612668,0.874739,0.788656,0.0608701
1.36,0.569138,0.306974,0.600829,0.861413,0.773238,0.0626819
1.38,0.560558,0.303397,0.597349,0.858677,0.766212,0.0645193
1.4,0.549828,0.297855,0.603208,0.843562,0.753129,0.0663824
1.42,0.538962,0.292119,0.591305,0.826962,0.73828,0.0682711
1.44,0.535229,0.292504,0.587849,0.814452,0.736674,0.0701854
1.46,0.581104,0.294059,0.603289,0.848581,0.754198,0.0721251
1.48,0.582165,0.289378,0.603642,0.852089,0.753541,0.0740902
1.5,0.578512,0.286508,0.60956,0.8707,0.761609,0.0760808
1.52,0.570053,0.28332,0.608247,0.877929,0.747115,0.0780967
1.54,0.559611,0.277779,0.602887,0.861681,0.735742,0.0801378
1.56,0.55545,0.273187,0.601371,0.848726,0.7232,0.0822042
1.58,0.547867,0.343922,0.600436,0.83741,0.712041,0.0842957
1.6,0.559465,0.345744,0.608379,0.855791,0.726721,0.0864124
1.62,0.551251,0.388524,0.597152,0.844878,0.722085,0.0885541
1.64,0.540611,0.390946,0.585349,0.82857,0.708207,0.0907207
1.66,0.543063,0.384739,0.576191,0.826494,0.720205,0.0929123
1.68,0.532694,0.377317,0.588502,0.82154,0.730507,0.0951288
1.7,0.522706,0.383688,0.58457,0.809597,0.716569,0.0973701
1.72,0.518116,0.388739,0.576668,0.796726,0.712806,0.0996361
1.74,0.508631,0.385858,0.567481,0.782104,0.699595,0.101927
1.76,0.518834,0.393667,0.587495,0.783309,0.779547,0.104242
1.78,0.520427,0.386175,0.577846,0.78012,0.777164,0.106582
1.8,0.55738,0.379736,0.592343,0.814082,0.803537,0.108946
1.82,0.560815,0.373003,0.591329,0.79923,0.791657,0.111335
1.84,0.550223,0.365718,0.584631,0.784937,0.77682,0.113748
1.86,0.539464,0.359078,0.577368,0.773923,0.784918,0.116186
1.88,0.530939,0.352009,0.578698,0.790541,0.801928,0.118648
1.9,0.520509,0.349688,0.578303,0.777322,0.787775,0.121133
1.92,0.513528,0.343278,0.568395,0.764485,0.773314,0.123643
1.94,0.525748,0.339481,0.578637,0.765783,0.778297,0.126177
1.96,0.518926,0.334339,0.568614,0.76919,0.766531,0.128735
1.98,0.576181,0.344804,0.56563,0.758432,0.818977,0.131317
2,0.575526,0.338724,0.562892,0.770523,0.804317,0.133923
2.02,0.585952,0.337249,0.556014,0.759163,0.810218,0.136552
2.04,0.5771,0.34486,0.553062,0.784928,0.794373,0.139205
2.06,0.565926,0.341328,0.551484,0.79236,0.780153,0.141882
2.08,0.560332,0.34439,0.555931,0.788165,0.769828,0.144582
2.1,0.549238,0.338893,0.545094,0.775201,0.755279,0.147306
2.12,0.557143,0.336266,0.552928,0.804748,0.751271,0.150053
2.14,0.553813,0.332507,0.554173,0.836691,0.743721,0.152823
2.16,0.543021,0.332306,0.543446,0.820273,0.729182,0.155617
2.18,0.643817,0.325914,0.538017,0.819656,0.788418,0.158433
2.2,0.631075,0.359537,0.536116,0.814911,0.773475,0.161273
2.22,0.619158,0.356659,0.52563,0.804464,0.758907,0.164136
2.24,0.608872,0.352465,0.527839,0.792917,0.744209,0.167021
2.26,0.597696,0.346011,0.526526,0.787678,0.729932,0.16993
2.28,0.59868,0.340346,0.523464,0.791048,0.7325,0.172861
2.3,0.59478,0.335186,0.517154,0.789171,0.72136,0.175815
2.32,0.605846,0.330076,0.519628,0.795862,0.759195,0.178792
2.34,0.636907,0.334155,0.520431,0.791888,0.759459,0.181791
2.36,0.624343,0.327573,0.515653,0.781956,0.744446,0.184812
2.38,0.613829,0.321457,0.524021,0.775106,0.731575,0.187856
2.4,0.611063,0.315233,0.516086,0.768975,0.729057,0.190922
2.42,0.605074,0.328937,0.513726,0.767779,0.779325,0.19401
2.44,0.6057,0.330972,0.507749,0.799388,0.79425,0.197121
2.46,0.593748,0.324517,0.521269,0.814474,0.7794,0.200253
2.48,0.601827,0.318789,0.52458,0.799082,0.767951,0.203407
2.5,0.608003,0.312959,0.538097,0.787833,0.790106,0.206584
2.52,0.59628,0.309185,0.529612,0.807488,0.780259,0.209781
2.54,0.585512,0.304997,0.530747,0.806563,0.768929,0.213001
2.56,0.579578,0.299421,0.521293,0.797162,0.758475,0.216242
2.58,0.591215,0.294442,0.511668,0.795577,0.743911,0.219505
2.6,0.579774,0.288869,0.502862,0.789151,0.731701,0.222789
2.62,0.568332,0.28315,0.495482,0.776675,0.71723,0.226094
2.64,0.568714,0.280901,0.494874,0.761999,0.71706,0.229421
2.66,0.578594,0.27647,0.48525,0.753123,0.724595,0.232768
2.68,0.598296,0.272114,0.484722,0.748668,0.749564,0.236137
2.7,0.606028,0.266994,0.479513,0.738784,0.751208,0.239527
2.72,0.594755,0.271889,0.474021,0.724764,0.73745,0.242937
2.74,0.585912,0.266984,0.485116,0.714434,0.724183,0.246368
2.76,0.588296,0.269223,0.478834,0.704312,0.727714,0.24982
2.78,0.577397,0.27539,0.469925,0.692275,0.714811,0.253293
2.8,0.573299,0.32501,0.468866,0.688289,0.707456,0.256786
2.82,0.563184,0.318579,0.467762,0.679719,0.696937,0.260299
2.84,0.552251,0.372091,0.458638,0.666571,0.683603,0.263833
2.86,0.54265,0.367861,0.458949,0.663467,0.670157,0.267387
2.88,0.540186,0.360993,0.465035,0.652561,0.686772,0.27096
2.9,0.535357,0.355694,0.477936,0.646145,0.678384,0.274554
2.92,0.534166,0.377396,0.473224,0.635787,0.674063,0.278168
2.94,0.530819,0.370042,0.485005,0.628248,0.683401,0.281802
2.96,0.520655,0.364646,0.479532,0.620194,0.670697,0.285455
2.98,0.510876,0.357433,0.480728,0.645637,0.660602,0.289128
3,0.500848,0.400554,0.471709,0.633048,0.648479,0.29282
3.02,0.493551,0.403371,0.479394,0.637761,0.638571,0.296532
3.04,0.545913,0.407532,0.494167,0.629069,0.699572,0.300263
3.06,0.535132,0.399477,0.487751,0.618995,0.685747,0.304013
3.08,0.525308,0.393966,0.483582,0.610001,0.672904,0.307782
3.1,0.514931,0.389289,0.479504,0.605866,0.659657,0.31157
3.12,0.504739,0.390874,0.470011,0.593877,0.646597,0.315377
3.14,0.5098,0.388501,0.468907,0.599919,0.646152,0.319203
3.16,0.5012,0.381005,0.473072,0.590594,0.633951,0.323048
3.18,0.681391,0.403111,0.468115,0.592729,0.743074,0.326911
3.2,0.72007,0.395188,0.462895,0.614059,0.740152,0.330792
3.22,0.70748,0.392175,0.455407,0.614071,0.726434,0.334692
3.24,0.694506,0.402141,0.454281,0.610932,0.712436,0.33861
3.26,0.681792,0.39429,0.46067,0.604917,0.699751,0.342547
3.28,0.679743,0.387616,0.468491,0.603885,0.704118,0.346501
3.3,0.706737,0.397032,0.464841,0.609944,0.768524,0.350473
3.32,0.694346,0.400262,0.458051,0.608562,0.753907,0.354463
3.34,0.703658,0.403239,0.472363,0.620776,0.755983,0.358471
3.36,0.689953,0.398863,0.482236,0.63665,0.74287,0.362496
3.38,0.676943,0.391508,0.473718,0.624839,0.728652,0.366539
3.4,0.663966,0.409413,0.464467,0.612595,0.714439,0.370599
3.42,0.658978,0.40362,0.460484,0.625304,0.736237,0.374676
3.44,0.646365,0.397159,0.452809,0.613113,0.721976,0.378771
3.46,0.636536,0.392181,0.458767,0.610676,0.714607,0.382883
3.48,0.625979,0.38679,0.462868,0.603598,0.703294,0.387011
3.5,0.623552,0.382836,0.468421,0.625271,0.779326,0.391156
3.52,0.618106,0.379565,0.46906,0.615404,0.787783,0.395318
3.54,0.6084,0.382365,0.462504,0.603293,0.77295,0.399497
