TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.689636,0.999043,0.143687,0.140142,0.453337,5.37407e-9
0.02,0.676061,0.981404,0.144808,0.13765,0.444374,1.31703e-5
0.04,0.663225,0.963382,0.142654,0.13494,0.435851,5.37504e-5
0.06,0.658587,0.944448,0.144728,0.141731,0.435539,1.21744e-4
0.08,0.653159,1.03311,0.143926,0.140717,0.434951,2.17151e-4
0.1,0.640514,1.10182,0.141258,0.138746,0.426646,3.39967e-4
0.12,0.635333,1.10982,0.14487,0.152489,0.428369,4.90189e-4
0.14,0.634141,1.19174,0.143487,0.158912,0.436812,6.67813e-4
0.16,0.622368,1.19426,0.143848,0.160361,0.428426,8.72834e-4
0.18,0.615268,1.17064,0.143291,0.163174,0.422296,0.00110525
0.2,0.610932,1.15167,0.157326,0.17311,0.419051,0.00136504
0.22,0.598922,1.13504,0.180336,0.171852,0.412292,0.00165222
0.24,0.587085,1.11786,0.191499,0.181227,0.404478,0.00196677
0.26,0.57619,1.0958,0.191104,0.178496,0.39773,0.00230868
0.28,0.565033,1.0741,0.197264,0.191051,0.390039,0.00267794
0.3,0.558123,1.12173,0.20162,0.189326,0.384799,0.00307454
0.32,0.547123,1.10488,0.201445,0.193582,0.37773,0.00349847
0.34,0.542063,1.12144,0.203363,0.198074,0.374927,0.00394972
0.36,0.548358,1.11742,0.20274,0.203315,0.386677,0.00442828
0.38,0.539332,1.09958,0.199968,0.209744,0.379304,0.00493414
0.4,0.528655,1.07892,0.20347,0.222601,0.371795,0.00546727
0.42,0.518969,1.05873,0.199912,0.22025,0.366989,0.00602767
0.44,0.509034,1.0378,0.198639,0.217156,0.359827,0.00661532
0.46,0.506348,1.01863,0.199025,0.217739,0.359017,0.00723021
0.48,0.504573,1.02172,0.19743,0.216922,0.365201,0.00787231
0.5,0.515241,1.00256,0.194046,0.22795,0.387191,0.00854161
0.52,0.506739,1.08594,0.193178,0.22603,0.381349,0.0092381
