TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.638174,0.86637,0.938671,0.54692,0.778934,5.37407e-9
0.02,0.629949,0.837074,0.938501,0.550618,0.768457,1.31703e-5
0.04,0.614473,0.826522,0.929407,0.547365,0.749144,5.37504e-5
0.06,0.59698,0.799222,0.923896,0.548895,0.727387,1.21744e-4
0.08,0.591481,0.788099,0.922926,0.549196,0.720252,2.17151e-4
0.1,0.586381,0.777139,0.923431,0.550359,0.713609,3.39967e-4
0.12,0.577779,0.763489,0.924514,0.553385,0.70271,4.90189e-4
0.14,0.562031,0.749684,0.919183,0.554518,0.683132,6.67813e-4
0.16,0.552727,0.738713,0.916369,0.5551,0.671397,8.72834e-4
0.18,0.538033,0.724332,0.912009,0.55674,0.653125,0.00110525
0.2,0.530592,0.716141,0.905611,0.554551,0.643668,0.00136504
0.22,0.513484,0.69561,0.901741,0.556326,0.622496,0.00165222
0.24,0.507686,0.689708,0.897304,0.555146,0.615046,0.00196677
0.26,0.498955,0.686938,0.890794,0.552024,0.604049,0.00230868
0.28,0.488893,0.672482,0.888019,0.553695,0.591452,0.00267794
0.3,0.48171,0.660584,0.889439,0.556872,0.582347,0.00307454
0.32,0.468312,0.6476,0.887577,0.559407,0.565738,0.00349847
0.34,0.462565,0.635661,0.886471,0.562114,0.558383,0.00394972
0.36,0.458313,0.625562,0.88417,0.562461,0.552839,0.00442828
0.38,0.44828,0.614702,0.879331,0.561547,0.54033,0.00493414
0.4,0.438186,0.605566,0.878521,0.56347,0.527757,0.00546727
0.42,0.438878,0.60277,0.880249,0.56553,0.528183,0.00602767
0.44,0.430803,0.595023,0.878511,0.567652,0.518062,0.00661532
0.46,0.429838,0.588391,0.878038,0.568556,0.516498,0.00723021
0.48,0.420348,0.577307,0.879867,0.573126,0.504697,0.00787231
0.5,0.416977,0.574149,0.874988,0.571231,0.500251,0.00854161
0.52,0.41058,0.566603,0.871617,0.57068,0.492181,0.0092381
0.54,0.40402,0.558493,0.869521,0.57195,0.483923,0.00996174
0.56,0.397752,0.547385,0.866628,0.57315,0.476025,0.0107125
0.58,0.390839,0.536147,0.867642,0.576597,0.467363,0.0114904
0.6,0.383175,0.528408,0.863858,0.575817,0.457811,0.0122954
0.62,0.379622,0.519378,0.864763,0.578477,0.453179,0.0131275
0.64,0.373589,0.510478,0.864096,0.580815,0.445593,0.0139867
0.66,0.368355,0.506266,0.859837,0.579213,0.438969,0.0148729
0.68,0.363907,0.504313,0.859033,0.579519,0.433288,0.015786
0.7,0.35966,0.504963,0.859066,0.58041,0.427853,0.0167262
0.72,0.358854,0.501412,0.861079,0.583804,0.426517,0.0176933
0.74,0.351873,0.496261,0.85907,0.585008,0.417847,0.0186874
0.76,0.346264,0.494103,0.85692,0.584787,0.410816,0.0197083
0.78,0.338441,0.486001,0.853883,0.585375,0.401167,0.0207562
0.8,0.335069,0.481298,0.851621,0.585185,0.396802,0.0218308
0.82,0.335463,0.479181,0.852631,0.58664,0.396901,0.0229323
0.84,0.333256,0.473838,0.851517,0.588442,0.393926,0.0240606
0.86,0.331368,0.469819,0.849333,0.588503,0.391332,0.0252157
0.88,0.326021,0.465945,0.848154,0.590451,0.38466,0.0263974
0.9,0.321052,0.460693,0.847138,0.592165,0.378441,0.0276059
0.92,0.315625,0.450231,0.84548,0.593653,0.371691,0.028841
0.94,0.313889,0.443194,0.847342,0.596259,0.369293,0.0301027
0.96,0.313522,0.440171,0.847472,0.597058,0.368509,0.0313911
0.98,0.311949,0.438001,0.844537,0.59614,0.366312,0.0327059
1,0.309422,0.437746,0.841453,0.595104,0.362999,0.0340473
1.02,0.30577,0.435141,0.843115,0.598672,0.358371,0.0354152
