TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.712714,0.295974,0.0757993,0.605147,0.811525,5.37407e-9
0.02,0.704791,0.292779,0.076948,0.600835,0.802229,1.31703e-5
0.04,0.697401,0.288313,0.0782881,0.598702,0.793542,5.37504e-5
0.06,0.688394,0.283642,0.0795445,0.596285,0.783019,1.21744e-4
0.08,0.688708,0.282172,0.0814987,0.59808,0.783102,2.17151e-4
0.1,0.680341,0.278718,0.0827672,0.59604,0.773317,3.39967e-4
0.12,0.677507,0.274321,0.0845493,0.597422,0.769823,4.90189e-4
0.14,0.675262,0.271708,0.0865059,0.600366,0.767,6.67813e-4
0.16,0.674894,0.267222,0.0884329,0.602256,0.76631,8.72834e-4
0.18,0.675683,0.263703,0.090409,0.604341,0.766936,0.00110525
0.2,0.675223,0.259772,0.0923934,0.60705,0.766144,0.00136504
0.22,0.66738,0.258506,0.0933086,0.602341,0.756977,0.00165222
0.24,0.665521,0.258414,0.0949548,0.602516,0.754602,0.00196677
0.26,0.657754,0.256942,0.095767,0.597367,0.745529,0.00230868
0.28,0.655674,0.255366,0.0973296,0.596902,0.742905,0.00267794
0.3,0.653066,0.25335,0.0989404,0.597135,0.739685,0.00307454
0.32,0.645955,0.249882,0.100096,0.595206,0.731368,0.00349847
0.34,0.642217,0.249628,0.101403,0.593163,0.726872,0.00394972
0.36,0.635793,0.248689,0.102508,0.590961,0.719339,0.00442828
0.38,0.628451,0.246438,0.103472,0.587738,0.710772,0.00493414
0.4,0.621375,0.244082,0.104347,0.584084,0.702509,0.00546727
0.42,0.618559,0.242984,0.106121,0.585723,0.699065,0.00602767
0.44,0.616465,0.241986,0.107612,0.585218,0.696439,0.00661532
0.46,0.61244,0.240705,0.10904,0.585071,0.691634,0.00723021
0.48,0.606426,0.24058,0.109979,0.581883,0.684585,0.00787231
0.5,0.605618,0.240851,0.111515,0.581454,0.683416,0.00854161
0.52,0.605886,0.237842,0.113326,0.582714,0.683462,0.0092381
0.54,0.605574,0.235838,0.11498,0.582911,0.682854,0.00996174
0.56,0.600564,0.233832,0.116033,0.580667,0.676951,0.0107125
