TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
1.56,0.293611,0.301857,0.602758,0.777684,0.322483,0.0822042
1.58,0.294176,0.297412,0.604582,0.779522,0.322907,0.0842957
1.6,0.291794,0.294132,0.604344,0.779449,0.320099,0.0864124
1.62,0.289028,0.292995,0.60461,0.77952,0.316872,0.0885541
1.64,0.288137,0.288811,0.605698,0.781209,0.315703,0.0907207
1.66,0.286877,0.286542,0.605632,0.780471,0.314133,0.0929123
1.68,0.284505,0.28377,0.606502,0.781055,0.311346,0.0951288
1.7,0.284708,0.281563,0.608428,0.782879,0.311381,0.0973701
1.72,0.284028,0.278199,0.607571,0.781713,0.31045,0.0996361
1.74,0.282673,0.275996,0.608279,0.782437,0.308785,0.101927
1.76,0.281613,0.274721,0.609882,0.784069,0.307443,0.104242
1.78,0.279237,0.27549,0.610207,0.784394,0.304667,0.106582
1.8,0.277381,0.274995,0.611553,0.785795,0.302461,0.108946
1.82,0.276181,0.273994,0.611093,0.7852,0.300972,0.111335
1.84,0.274984,0.271422,0.610221,0.783914,0.29949,0.113748
1.86,0.272226,0.271676,0.609655,0.782812,0.296309,0.116186
1.88,0.269219,0.268869,0.60974,0.783132,0.292861,0.118648
1.9,0.26983,0.267408,0.611152,0.784297,0.293351,0.121133
1.92,0.2674,0.264804,0.610295,0.782526,0.290535,0.123643
1.94,0.267676,0.26366,0.612676,0.784993,0.290663,0.126177
1.96,0.265689,0.26195,0.612886,0.784721,0.288334,0.128735
1.98,0.263098,0.258569,0.61445,0.786793,0.285355,0.131317
2,0.259927,0.254839,0.614771,0.787266,0.281748,0.133923
2.02,0.258363,0.251827,0.615315,0.787838,0.279885,0.136552
2.04,0.258581,0.251624,0.616958,0.78921,0.279956,0.139205
2.06,0.256669,0.252521,0.617841,0.789581,0.277721,0.141882
2.08,0.255795,0.253915,0.619619,0.791152,0.276613,0.144582
2.1,0.25649,0.251786,0.620304,0.791463,0.277202,0.147306
2.12,0.256357,0.249809,0.622259,0.793766,0.276897,0.150053
2.14,0.254838,0.249975,0.623324,0.794673,0.275098,0.152823
