TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.181285,0.666137,0.0279065,0.613486,0.33835,5.37407e-9
0.02,0.177702,0.652966,0.0305418,0.605085,0.331658,1.31703e-5
0.04,0.404022,0.646399,0.0299928,0.595577,0.374056,5.37504e-5
0.06,0.410589,0.648747,0.038371,0.589992,0.379074,1.21744e-4
0.08,0.408737,0.656136,0.0449979,0.585588,0.372186,2.17151e-4
0.1,0.416942,0.646822,0.0512318,0.58279,0.378781,3.39967e-4
0.12,0.418537,0.639554,0.0996161,0.590735,0.378942,4.90189e-4
0.14,0.411734,0.627681,0.0984182,0.580844,0.373221,6.67813e-4
0.16,0.413077,0.633092,0.128239,0.649713,0.371193,8.72834e-4
0.18,0.478471,0.625212,0.132509,0.637791,0.368299,0.00110525
0.2,0.480783,0.613821,0.139441,0.630472,0.361397,0.00136504
0.22,0.473491,0.603934,0.163127,0.621589,0.366466,0.00165222
0.24,0.480333,0.593381,0.174771,0.611435,0.399927,0.00196677
0.26,0.471061,0.581904,0.183328,0.618908,0.392702,0.00230868
0.28,0.462908,0.570614,0.182852,0.6432,0.395357,0.00267794
0.3,0.469294,0.559317,0.185778,0.646178,0.547794,0.00307454
0.32,0.472228,0.554765,0.185781,0.635328,0.557676,0.00349847
0.34,0.465675,0.548961,0.187441,0.634427,0.548313,0.00394972
0.36,0.456792,0.54456,0.183813,0.62244,0.537607,0.00442828
0.38,0.451298,0.538694,0.190732,0.636185,0.532169,0.00493414
0.4,0.443682,0.528082,0.198487,0.646351,0.523604,0.00546727
0.42,0.43513,0.518647,0.194773,0.633826,0.51375,0.00602767
0.44,0.430729,0.513257,0.191169,0.624404,0.505786,0.00661532
0.46,0.798992,0.50315,0.1929,0.692482,0.554789,0.00723021
0.48,0.783267,0.498245,0.189276,0.680552,0.543917,0.00787231
0.5,0.767811,0.490549,0.186352,0.667423,0.533698,0.00854161
0.52,0.758038,0.486219,0.19737,0.675641,0.524014,0.0092381
0.54,0.750321,0.476799,0.204745,0.676221,0.524772,0.00996174
0.56,0.737273,0.467789,0.20125,0.664217,0.517819,0.0107125
0.58,0.723193,0.467109,0.197412,0.65464,0.508164,0.0114904
0.6,0.723646,0.458044,0.193909,0.641853,0.507255,0.0122954
0.62,0.716909,0.454531,0.205402,0.63564,0.508099,0.0131275
0.64,0.706529,0.44657,0.208955,0.626095,0.50143,0.0139867
0.66,0.69709,0.488549,0.224893,0.62751,0.506573,0.0148729
0.68,0.684281,0.491127,0.224936,0.617126,0.506734,0.015786
0.7,0.672879,0.493033,0.222977,0.607565,0.496879,0.0167262
0.72,0.663211,0.483278,0.222157,0.602441,0.505479,0.0176933
0.74,0.690336,0.473741,0.225412,0.591227,0.510196,0.0186874
0.76,0.680218,0.464369,0.22201,0.582029,0.507511,0.0197083
0.78,0.667164,0.455964,0.224046,0.570611,0.49792,0.0207562
0.8,0.661986,0.44818,0.22278,0.574238,0.493378,0.0218308
0.82,0.658808,0.440589,0.230397,0.567479,0.488139,0.0229323
