TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.66591,0.405109,0.117537,0.733886,0.214317,5.37407e-9
0.02,0.660114,0.401431,0.118798,0.732122,0.2138,1.31703e-5
0.04,0.652425,0.397393,0.119332,0.72545,0.212652,5.37504e-5
0.06,0.647431,0.396267,0.120796,0.725328,0.212365,1.21744e-4
0.08,0.640462,0.390931,0.122254,0.725502,0.211414,2.17151e-4
0.1,0.633259,0.389107,0.123643,0.725445,0.210366,3.39967e-4
0.12,0.627631,0.388566,0.124607,0.721893,0.209824,4.90189e-4
0.14,0.62103,0.384352,0.125415,0.717836,0.20894,6.67813e-4
0.16,0.611541,0.378839,0.126079,0.713483,0.207062,8.72834e-4
0.18,0.605348,0.374976,0.126903,0.709344,0.206279,0.00110525
0.2,0.5999,0.369131,0.128343,0.709449,0.205733,0.00136504
0.22,0.596469,0.367404,0.129328,0.706054,0.205865,0.00165222
0.24,0.590299,0.36476,0.130218,0.702844,0.205036,0.00196677
0.26,0.588461,0.360638,0.131969,0.704324,0.205699,0.00230868
0.28,0.581342,0.35819,0.132951,0.702323,0.204501,0.00267794
0.3,0.578479,0.358799,0.13461,0.703208,0.204785,0.00307454
0.32,0.574327,0.354919,0.135979,0.703041,0.2046,0.00349847
0.34,0.568589,0.351833,0.137209,0.702236,0.203835,0.00394972
0.36,0.563854,0.348814,0.138161,0.699447,0.203413,0.00442828
0.38,0.559137,0.343418,0.13924,0.697649,0.202982,0.00493414
0.4,0.551785,0.33818,0.139974,0.694492,0.201576,0.00546727
0.42,0.545907,0.334814,0.1411,0.693303,0.200689,0.00602767
0.44,0.543419,0.330451,0.143023,0.696159,0.201034,0.00661532
0.46,0.543508,0.33043,0.144874,0.697908,0.202325,0.00723021
0.48,0.539762,0.32858,0.145805,0.695217,0.202179,0.00787231
0.5,0.533413,0.324593,0.146792,0.693607,0.201042,0.00854161
0.52,0.52693,0.319613,0.147545,0.690969,0.199835,0.0092381
0.54,0.525745,0.320632,0.149068,0.690997,0.200624,0.00996174
0.56,0.519291,0.31974,0.149895,0.68884,0.199388,0.0107125
0.58,0.513909,0.319194,0.150771,0.686674,0.198545,0.0114904
0.6,0.511816,0.317043,0.152421,0.687864,0.198958,0.0122954
0.62,0.508504,0.316269,0.153659,0.686941,0.198887,0.0131275
0.64,0.503919,0.316182,0.15451,0.684535,0.198304,0.0139867
0.66,0.501453,0.315941,0.156227,0.686175,0.198541,0.0148729
0.68,0.497103,0.316855,0.156816,0.682392,0.198019,0.015786
0.7,0.494129,0.313165,0.157789,0.680519,0.198032,0.0167262
0.72,0.489007,0.309414,0.158595,0.678575,0.197169,0.0176933
0.74,0.486468,0.305899,0.160184,0.679887,0.197333,0.0186874
0.76,0.484042,0.306369,0.161553,0.679814,0.197532,0.0197083
0.78,0.482069,0.305036,0.163035,0.67997,0.197906,0.0207562
0.8,0.480765,0.301812,0.164508,0.680366,0.198546,0.0218308
0.82,0.477856,0.299828,0.165235,0.677412,0.198512,0.0229323
0.84,0.474396,0.297645,0.166363,0.676462,0.198237,0.0240606
0.86,0.472675,0.295238,0.16797,0.67759,0.198678,0.0252157
0.88,0.472082,0.295898,0.169552,0.677949,0.199585,0.0263974
0.9,0.470688,0.296076,0.170933,0.678191,0.200146,0.0276059
0.92,0.469798,0.293027,0.172806,0.680561,0.200914,0.028841
0.94,0.465392,0.293161,0.1734,0.677542,0.200166,0.0301027
0.96,0.465013,0.290444,0.175181,0.678747,0.20114,0.0313911
0.98,0.464884,0.288878,0.177157,0.681247,0.202216,0.0327059
1,0.463244,0.287501,0.178471,0.681133,0.202629,0.0340473
1.02,0.462258,0.284549,0.180074,0.681653,0.203319,0.0354152
1.04,0.461732,0.284468,0.182055,0.683982,0.204205,0.0368096
1.06,0.45957,0.284271,0.183071,0.682607,0.204359,0.0382303
1.08,0.453851,0.280677,0.183536,0.679966,0.202917,0.0396774
1.1,0.451458,0.277929,0.184433,0.678497,0.202948,0.0411508
1.12,0.448436,0.27829,0.184874,0.674919,0.202684,0.0426505
1.14,0.448261,0.279367,0.186213,0.674432,0.203698,0.0441765
1.16,0.444924,0.275624,0.18708,0.673274,0.203267,0.0457287
1.18,0.444555,0.276093,0.188528,0.67328,0.204182,0.047307
1.2,0.44324,0.273186,0.190265,0.675168,0.204655,0.0489115
1.22,0.441945,0.271742,0.191837,0.676213,0.20513,0.050542
1.24,0.441892,0.270638,0.193371,0.676452,0.206174,0.0521985
1.26,0.440602,0.269606,0.195083,0.678029,0.206635,0.0538811
1.28,0.436569,0.268345,0.195846,0.676364,0.205799,0.0555895
1.3,0.432835,0.265612,0.196248,0.673669,0.205089,0.0573239
1.32,0.429379,0.26502,0.196784,0.670797,0.204497,0.0590841
1.34,0.427375,0.263426,0.197997,0.670942,0.204585,0.0608701
1.36,0.427568,0.262647,0.199831,0.672394,0.205718,0.0626819
1.38,0.424013,0.261009,0.200863,0.671847,0.205038,0.0645193
1.4,0.424288,0.261595,0.2024,0.672276,0.206202,0.0663824
1.42,0.421228,0.25885,0.203169,0.670622,0.205737,0.0682711
1.44,0.418433,0.256366,0.204529,0.671163,0.205389,0.0701854
1.46,0.415794,0.257387,0.205124,0.668706,0.205106,0.0721251
1.48,0.412906,0.256005,0.206102,0.66808,0.204689,0.0740902
1.5,0.409281,0.253161,0.206634,0.666103,0.203894,0.0760808
1.52,0.406668,0.252423,0.207263,0.664281,0.20359,0.0780967
1.54,0.404206,0.253258,0.207868,0.661905,0.203351,0.0801378
1.56,0.40163,0.252673,0.208836,0.661026,0.203043,0.0822042
1.58,0.39891,0.252585,0.209495,0.65948,0.202651,0.0842957
1.6,0.396643,0.251983,0.210552,0.65913,0.202478,0.0864124
1.62,0.395401,0.251852,0.211944,0.659316,0.202819,0.0885541
1.64,0.393448,0.251349,0.213189,0.65912,0.202787,0.0907207
1.66,0.390761,0.249603,0.214063,0.657949,0.202365,0.0929123
1.68,0.388478,0.249351,0.214883,0.656906,0.202142,0.0951288
1.7,0.385252,0.247698,0.215675,0.655579,0.201416,0.0973701
1.72,0.382342,0.248003,0.21652,0.654346,0.200843,0.0996361
1.74,0.381897,0.248212,0.218058,0.654994,0.201556,0.101927
1.76,0.382275,0.247599,0.219967,0.656366,0.202697,0.104242
1.78,0.381617,0.247905,0.221874,0.658759,0.203285,0.106582
1.8,0.381618,0.246854,0.223809,0.661268,0.204217,0.108946
1.82,0.383319,0.246524,0.226029,0.66357,0.206057,0.111335
1.84,0.381612,0.246222,0.226602,0.661544,0.20606,0.113748
1.86,0.381197,0.246409,0.228738,0.663973,0.206753,0.116186
1.88,0.381153,0.246534,0.230844,0.66612,0.207642,0.118648
1.9,0.380714,0.244289,0.232304,0.667324,0.20831,0.121133
1.92,0.378762,0.243619,0.233388,0.667122,0.208143,0.123643
1.94,0.375652,0.241745,0.234232,0.666075,0.207329,0.126177
1.96,0.37339,0.239286,0.235312,0.666125,0.206972,0.128735
1.98,0.372091,0.23905,0.236147,0.664231,0.207139,0.131317
2,0.373322,0.240723,0.238388,0.666637,0.20871,0.133923
2.02,0.37219,0.241971,0.240163,0.668096,0.208956,0.136552
2.04,0.371342,0.242423,0.241651,0.668539,0.209353,0.139205
2.06,0.370391,0.241297,0.243008,0.66827,0.209686,0.141882
2.08,0.368923,0.241273,0.24458,0.668736,0.209719,0.144582
2.1,0.366039,0.23989,0.245116,0.667393,0.208937,0.147306
2.12,0.363303,0.240801,0.246008,0.666583,0.208228,0.150053
2.14,0.361096,0.241354,0.247581,0.668176,0.207811,0.152823
2.16,0.358723,0.239887,0.249195,0.669338,0.20729,0.155617
2.18,0.356942,0.239212,0.250991,0.671502,0.2071,0.158433
2.2,0.355284,0.239351,0.252549,0.672609,0.206974,0.161273
2.22,0.352211,0.237809,0.253397,0.671819,0.206012,0.164136
2.24,0.352519,0.238827,0.255487,0.674289,0.207021,0.167021
2.26,0.352845,0.239481,0.257405,0.676003,0.208036,0.16993
2.28,0.35326,0.240411,0.259164,0.676892,0.209099,0.172861
2.3,0.353121,0.23904,0.261244,0.678871,0.209831,0.175815
2.32,0.351345,0.237346,0.26202,0.678593,0.209583,0.178792
2.34,0.351637,0.236571,0.263218,0.678093,0.210562,0.181791
2.36,0.349462,0.237147,0.263474,0.676266,0.210057,0.184812
2.38,0.348165,0.23751,0.26462,0.67582,0.210072,0.187856
2.4,0.347317,0.238404,0.266533,0.67744,0.21035,0.190922
2.42,0.344823,0.23728,0.267628,0.677766,0.209623,0.19401
2.44,0.345314,0.238329,0.269637,0.679542,0.210704,0.197121
2.46,0.345761,0.236873,0.271992,0.682136,0.211755,0.200253
2.48,0.345288,0.235535,0.272929,0.681584,0.212238,0.203407
2.5,0.343196,0.235343,0.273827,0.680972,0.211718,0.206584
2.52,0.34329,0.235686,0.275569,0.682502,0.21254,0.209781
2.54,0.340849,0.234399,0.275836,0.680295,0.211785,0.213001
2.56,0.340612,0.233229,0.278364,0.683651,0.212393,0.216242
2.58,0.339759,0.232569,0.280028,0.684057,0.212611,0.219505
2.6,0.337462,0.231215,0.280757,0.683031,0.211917,0.222789
2.62,0.336315,0.23212,0.282088,0.68223,0.211937,0.226094
2.64,0.335751,0.232717,0.283583,0.683398,0.212319,0.229421
2.66,0.33502,0.233279,0.284572,0.683306,0.212589,0.232768
2.68,0.334676,0.233703,0.287193,0.686392,0.213099,0.236137
2.7,0.332858,0.234616,0.288347,0.686186,0.212664,0.239527
2.72,0.33124,0.232556,0.289513,0.686883,0.212348,0.242937
2.74,0.331992,0.233613,0.291561,0.688668,0.213546,0.246368
2.76,0.332551,0.234273,0.294,0.690833,0.214618,0.24982
2.78,0.331155,0.234257,0.295179,0.69049,0.214423,0.253293
2.8,0.329704,0.234796,0.296088,0.69027,0.214185,0.256786
2.82,0.330261,0.233736,0.297034,0.68968,0.215246,0.260299
2.84,0.329435,0.232758,0.298174,0.690196,0.215401,0.263833
2.86,0.329584,0.231081,0.300053,0.692063,0.216189,0.267387
2.88,0.328833,0.232246,0.3024,0.694012,0.216381,0.27096
2.9,0.328191,0.231357,0.303044,0.692527,0.216641,0.274554
2.92,0.326724,0.232189,0.303775,0.690876,0.216348,0.278168
2.94,0.327817,0.231104,0.306254,0.693558,0.217746,0.281802
2.96,0.32693,0.232384,0.308494,0.695319,0.217826,0.285455
2.98,0.326079,0.233565,0.310635,0.696955,0.217924,0.289128
3,0.326579,0.233251,0.312914,0.698692,0.218919,0.29282
3.02,0.325889,0.234218,0.315328,0.700688,0.219113,0.296532
3.04,0.325906,0.234981,0.317638,0.702703,0.219778,0.300263
3.06,0.322823,0.233517,0.317946,0.701573,0.218345,0.304013
3.08,0.321673,0.231628,0.319109,0.701547,0.218212,0.307782
3.1,0.321126,0.231289,0.322045,0.704239,0.218481,0.31157
3.12,0.320307,0.231863,0.324028,0.705007,0.218561,0.315377
3.14,0.320971,0.232424,0.326402,0.707348,0.219648,0.319203
3.16,0.320234,0.233242,0.32816,0.70906,0.219772,0.323048
3.18,0.319836,0.232789,0.329343,0.708798,0.220124,0.326911
3.2,0.317745,0.232527,0.33064,0.709511,0.219305,0.330792
3.22,0.316546,0.232947,0.332756,0.711745,0.219093,0.334692
3.24,0.31355,0.231992,0.333981,0.711549,0.21763,0.33861
3.26,0.314057,0.233762,0.336099,0.713237,0.218593,0.342547
3.28,0.311963,0.233949,0.3379,0.713895,0.217739,0.346501
3.3,0.309983,0.233381,0.339419,0.715461,0.216958,0.350473
3.32,0.309804,0.232538,0.340984,0.716647,0.217431,0.354463
3.34,0.308097,0.231245,0.342574,0.717357,0.216825,0.358471
3.36,0.30758,0.229889,0.343768,0.717305,0.217052,0.362496
3.38,0.304325,0.228299,0.344373,0.716525,0.215338,0.366539
3.4,0.303209,0.228137,0.346875,0.718286,0.21513,0.370599
3.42,0.302888,0.227819,0.348141,0.718859,0.215482,0.374676
3.44,0.301938,0.227365,0.350673,0.721777,0.21538,0.378771
3.46,0.302056,0.227239,0.351548,0.721158,0.216035,0.382883
3.48,0.302948,0.226963,0.353647,0.723346,0.217242,0.387011
3.5,0.301769,0.224696,0.355431,0.724682,0.216959,0.391156
3.52,0.301821,0.225709,0.357468,0.726963,0.217557,0.395318
3.54,0.301073,0.224721,0.358587,0.726933,0.217574,0.399497
3.56,0.301632,0.22438,0.361086,0.728484,0.218531,0.403692
3.58,0.300737,0.224726,0.363997,0.730632,0.218431,0.407903
3.6,0.298754,0.22665,0.365929,0.730661,0.217534,0.412131
3.62,0.298602,0.227191,0.366279,0.729109,0.217965,0.416375
3.64,0.297733,0.227905,0.367746,0.729564,0.217869,0.420634
3.66,0.295988,0.229039,0.369903,0.731293,0.217125,0.42491
3.68,0.293805,0.230055,0.372166,0.73277,0.216053,0.429201
3.7,0.293141,0.231957,0.374606,0.73407,0.216091,0.433508
3.72,0.293419,0.232412,0.376087,0.73524,0.21682,0.437831
3.74,0.293223,0.233241,0.377609,0.734911,0.217196,0.442169
3.76,0.290888,0.232126,0.378181,0.734086,0.215981,0.446522
3.78,0.289963,0.231483,0.379607,0.734013,0.215806,0.450891
3.8,0.289284,0.230388,0.380763,0.734323,0.21581,0.455274
3.82,0.287807,0.229702,0.383088,0.736171,0.215214,0.459672
3.84,0.286638,0.23102,0.385108,0.736677,0.214841,0.464086
3.86,0.287092,0.232647,0.386666,0.73677,0.21568,0.468514
3.88,0.287533,0.233555,0.389527,0.738876,0.216508,0.472956
3.9,0.288448,0.232833,0.392102,0.741615,0.21769,0.477413
3.92,0.288358,0.233778,0.39417,0.743178,0.218111,0.481884
3.94,0.288251,0.232737,0.39726,0.745856,0.218516,0.48637
3.96,0.287299,0.230764,0.399407,0.747414,0.218275,0.490869
3.98,0.286625,0.230551,0.402818,0.749925,0.218241,0.495383
4,0.285537,0.229991,0.404306,0.750515,0.217888,0.49991
4.02,0.286518,0.229014,0.406228,0.75275,0.219109,0.504451
4.04,0.283972,0.228278,0.408374,0.753359,0.217629,0.509006
4.06,0.284349,0.227556,0.410713,0.755554,0.218384,0.513574
4.08,0.283543,0.22848,0.412378,0.755306,0.218226,0.518155
4.1,0.28188,0.229445,0.413466,0.754759,0.217404,0.52275
4.12,0.280362,0.231719,0.414536,0.75426,0.216688,0.527358
4.14,0.2783,0.229996,0.415209,0.754034,0.215546,0.531979
4.16,0.279058,0.229352,0.418777,0.756806,0.216583,0.536612
4.18,0.280578,0.230357,0.422779,0.760199,0.21821,0.541258
4.2,0.279357,0.229131,0.425078,0.762096,0.217702,0.545917
4.22,0.277704,0.230398,0.428572,0.765708,0.216853,0.550588
4.24,0.276506,0.230899,0.431702,0.767772,0.216352,0.555272
4.26,0.275292,0.229693,0.431778,0.766244,0.215835,0.559968
4.28,0.27471,0.231689,0.434731,0.767326,0.215809,0.564676
4.3,0.275229,0.233693,0.436727,0.767938,0.216644,0.569395
4.32,0.273963,0.234114,0.439617,0.769751,0.216071,0.574127
4.34,0.272098,0.232119,0.439354,0.768259,0.215019,0.57887
4.36,0.272194,0.233478,0.442031,0.770027,0.215514,0.583625
4.38,0.270865,0.235116,0.444907,0.771375,0.214875,0.588391
4.4,0.270788,0.234426,0.449024,0.77553,0.215226,0.593169
4.42,0.270191,0.235347,0.453508,0.779564,0.21516,0.597957
4.44,0.269728,0.233129,0.453311,0.778208,0.215197,0.602757
4.46,0.268752,0.234127,0.455274,0.779469,0.21482,0.607568
4.48,0.26821,0.23322,0.458385,0.781472,0.214786,0.612389
4.5,0.267552,0.235106,0.461633,0.783797,0.214656,0.617221
4.52,0.267612,0.235515,0.465559,0.786574,0.215098,0.622063
4.54,0.267419,0.235242,0.469103,0.789076,0.215333,0.626916
4.56,0.265958,0.236979,0.471842,0.790548,0.214544,0.631779
4.58,0.264512,0.235426,0.473942,0.79224,0.213762,0.636652
4.6,0.263318,0.235829,0.475772,0.793288,0.213178,0.641535
4.62,0.262831,0.23365,0.477841,0.794784,0.213164,0.646428
4.64,0.26208,0.234284,0.479198,0.795508,0.21293,0.651331
4.66,0.262009,0.233608,0.48089,0.79654,0.213246,0.656243
4.68,0.260696,0.236044,0.484815,0.799293,0.212548,0.661165
4.7,0.260856,0.236526,0.485921,0.799593,0.213046,0.666095
4.72,0.259093,0.238969,0.487251,0.798806,0.21197,0.671035
4.74,0.25788,0.241965,0.489479,0.798926,0.211339,0.675985
4.76,0.257181,0.242776,0.492848,0.801811,0.211125,0.680942
4.78,0.258209,0.240997,0.493708,0.801772,0.212327,0.685909
4.8,0.257675,0.238589,0.495171,0.802792,0.212241,0.690884
4.82,0.257676,0.23826,0.496596,0.804059,0.212593,0.695868
4.84,0.259045,0.239254,0.500555,0.806851,0.214072,0.70086
4.86,0.259415,0.238964,0.50294,0.808727,0.214724,0.705861
4.88,0.258729,0.236778,0.504475,0.808949,0.214499,0.710869
4.9,0.257959,0.235509,0.504259,0.807845,0.214201,0.715885
4.92,0.256719,0.238972,0.508518,0.810131,0.213508,0.720909
4.94,0.255258,0.240276,0.512068,0.813296,0.212628,0.725941
4.96,0.254215,0.239045,0.515329,0.815556,0.212091,0.73098
4.98,0.25393,0.23689,0.517675,0.817835,0.212183,0.736027
5,0.252741,0.235116,0.519943,0.819751,0.211516,0.741081
5.02,0.252748,0.237918,0.522078,0.819678,0.211847,0.746142
5.04,0.251906,0.238577,0.52423,0.820239,0.211463,0.75121
5.06,0.252408,0.239903,0.526901,0.821452,0.212204,0.756284
5.08,0.251728,0.239386,0.528733,0.823279,0.21195,0.761366
5.1,0.250419,0.2403,0.533786,0.826784,0.211161,0.766454
5.12,0.250136,0.239563,0.538108,0.82983,0.211235,0.771548
5.14,0.248556,0.239365,0.540025,0.83073,0.21021,0.776649
5.16,0.247423,0.241433,0.542612,0.831366,0.209558,0.781756
5.18,0.245436,0.241518,0.544758,0.833003,0.208178,0.786868
5.2,0.245742,0.242624,0.544541,0.831454,0.208741,0.791987
5.22,0.247133,0.242992,0.549717,0.835398,0.210223,0.797111
5.24,0.2458,0.242177,0.551019,0.835116,0.209386,0.802241
5.26,0.243932,0.243119,0.554309,0.835898,0.208089,0.807376
5.28,0.241442,0.242011,0.554439,0.835496,0.206256,0.812517
5.3,0.240034,0.243346,0.554267,0.834003,0.205343,0.817663
5.32,0.237893,0.244018,0.557112,0.834503,0.203797,0.822813
5.34,0.237485,0.244545,0.55936,0.836123,0.203733,0.827969
5.36,0.237725,0.246277,0.564289,0.839207,0.204222,0.833129
5.38,0.238308,0.245578,0.566702,0.840517,0.205004,0.838294
5.4,0.239374,0.246676,0.569899,0.84251,0.2062,0.843463
5.42,0.240524,0.245765,0.572001,0.844245,0.207467,0.848637
5.44,0.241459,0.246328,0.574741,0.846173,0.208548,0.853814
5.46,0.239228,0.244361,0.576107,0.8459,0.206891,0.858996
5.48,0.238728,0.244198,0.576476,0.846037,0.206728,0.864182
5.5,0.238099,0.243781,0.581272,0.849493,0.20645,0.869371
5.52,0.236658,0.241416,0.582389,0.850329,0.205464,0.874564
5.54,0.234778,0.243254,0.584986,0.850593,0.204093,0.87976
5.56,0.233756,0.244566,0.585677,0.850057,0.203465,0.88496
5.58,0.233799,0.245188,0.58625,0.849916,0.20376,0.890163
5.6,0.233913,0.24507,0.588882,0.852028,0.204116,0.895368
5.62,0.232864,0.245731,0.592096,0.853456,0.203454,0.900577
5.64,0.233255,0.247119,0.596923,0.857039,0.204047,0.905788
5.66,0.233518,0.247273,0.598834,0.858588,0.204526,0.911002
5.68,0.233233,0.247436,0.601913,0.859532,0.204524,0.916219
5.7,0.232111,0.247661,0.606324,0.862701,0.203785,0.921438
5.72,0.231927,0.24606,0.608626,0.864506,0.203865,0.926658
5.74,0.229478,0.246241,0.612643,0.865847,0.201953,0.931881
5.76,0.228366,0.247537,0.614879,0.867291,0.201212,0.937106
5.78,0.227509,0.249141,0.61725,0.868891,0.200694,0.942332
5.8,0.226899,0.249641,0.621665,0.872307,0.20039,0.94756
5.82,0.227277,0.248423,0.624718,0.873416,0.200956,0.95279
5.84,0.224719,0.246633,0.626322,0.8732,0.198924,0.958021
5.86,0.224199,0.247026,0.62713,0.872837,0.198692,0.963253
5.88,0.224813,0.247529,0.633159,0.87679,0.199463,0.968486
5.9,0.223408,0.248488,0.636224,0.877955,0.19844,0.973719
5.92,0.22216,0.247408,0.639667,0.880599,0.197554,0.978954
5.94,0.223308,0.246252,0.642247,0.881648,0.198796,0.984189
5.96,0.223568,0.24582,0.644345,0.883259,0.199246,0.989425
5.98,0.223173,0.245914,0.646329,0.884624,0.199111,0.99466
6,0.222213,0.244162,0.648222,0.885895,0.198468,0.999896
6.02,0.22349,0.246909,0.653253,0.888083,0.199822,1.00513
6.04,0.22348,0.244148,0.655286,0.889659,0.200024,1.01037
6.06,0.224681,0.245357,0.660725,0.893078,0.201308,1.0156
6.08,0.225145,0.242666,0.662115,0.894247,0.201931,1.02084
6.1,0.225455,0.243195,0.665307,0.895892,0.202415,1.02607
6.12,0.224925,0.240532,0.666116,0.895634,0.202142,1.03131
6.14,0.223107,0.241552,0.668933,0.8955,0.200709,1.03654
6.16,0.222639,0.241008,0.671157,0.896401,0.200488,1.04177
6.18,0.222937,0.240716,0.672175,0.895757,0.200954,1.047
6.2,0.223553,0.241022,0.674257,0.895847,0.201706,1.05223
6.22,0.22193,0.243669,0.678284,0.897412,0.200435,1.05746
6.24,0.221182,0.24496,0.682671,0.899334,0.199952,1.06269
6.26,0.219582,0.244553,0.684163,0.89961,0.198697,1.06791
6.28,0.220201,0.244888,0.686688,0.90177,0.199446,1.07313
