TIME,EC:1,LHY:1,ZTL:1,PRR9:1,TOC1:1,Light:1
0,0.840792,0.153788,0.426387,0.922519,0.322042,5.37407e-9
0.02,0.834555,0.15258,0.426749,0.921058,0.320881,1.31703e-5
0.04,0.830382,0.153403,0.427103,0.919597,0.320503,5.37504e-5
0.06,0.820153,0.153168,0.425301,0.913482,0.317774,1.21744e-4
0.08,0.811784,0.151136,0.426164,0.913274,0.315749,2.17151e-4
0.1,0.798351,0.150209,0.423013,0.904433,0.311735,3.39967e-4
0.12,0.789512,0.150351,0.421505,0.899161,0.309494,4.90189e-4
0.14,0.789051,0.150018,0.423262,0.900762,0.310528,6.67813e-4
0.16,0.777427,0.151428,0.419221,0.890109,0.307155,8.72834e-4
0.18,0.774101,0.150946,0.420068,0.889756,0.307047,0.00110525
0.2,0.762364,0.150109,0.415738,0.878549,0.303588,0.00136504
0.22,0.751511,0.150541,0.41149,0.867385,0.300459,0.00165222
0.24,0.744979,0.151852,0.412546,0.867533,0.299041,0.00196677
0.26,0.732492,0.15269,0.40855,0.85711,0.295214,0.00230868
0.28,0.731349,0.151682,0.409944,0.858039,0.295945,0.00267794
0.3,0.724533,0.152751,0.407792,0.851535,0.29437,0.00307454
0.32,0.710917,0.152774,0.404395,0.842471,0.290013,0.00349847
0.34,0.708125,0.152906,0.40558,0.842757,0.290054,0.00394972
0.36,0.701006,0.154087,0.40542,0.840403,0.288311,0.00442828
0.38,0.692519,0.152249,0.404322,0.836365,0.285989,0.00493414
0.4,0.690765,0.151257,0.40431,0.834221,0.286436,0.00546727
0.42,0.681399,0.150718,0.403061,0.829809,0.283713,0.00602767
0.44,0.67172,0.152101,0.400299,0.822264,0.28084,0.00661532
0.46,0.668309,0.152967,0.400218,0.820279,0.280573,0.00723021
0.48,0.66281,0.153949,0.399752,0.817471,0.279419,0.00787231
0.5,0.662413,0.155358,0.401508,0.819098,0.280406,0.00854161
0.52,0.656495,0.15584,0.399977,0.814334,0.279047,0.0092381
0.54,0.650205,0.155871,0.397458,0.807179,0.277516,0.00996174
0.56,0.639979,0.1561,0.394817,0.799953,0.274287,0.0107125
0.58,0.629452,0.157175,0.392421,0.793284,0.270907,0.0114904
0.6,0.62267,0.156501,0.390304,0.787202,0.269119,0.0122954
0.62,0.616596,0.157157,0.389,0.782633,0.267623,0.0131275
0.64,0.612173,0.157717,0.390231,0.783246,0.266829,0.0139867
0.66,0.611499,0.157332,0.391925,0.785081,0.267661,0.0148729
0.68,0.606077,0.15773,0.391409,0.782389,0.266406,0.015786
0.7,0.602487,0.159342,0.390293,0.77825,0.265943,0.0167262
0.72,0.602552,0.159412,0.392074,0.77985,0.267087,0.0176933
0.74,0.593503,0.160548,0.389657,0.773482,0.26418,0.0186874
0.76,0.590594,0.161437,0.390029,0.772354,0.26399,0.0197083
0.78,0.586714,0.161625,0.390885,0.772383,0.263356,0.0207562
0.8,0.576653,0.160894,0.388914,0.766969,0.259931,0.0218308
0.82,0.57313,0.161888,0.388449,0.764306,0.259436,0.0229323
0.84,0.567744,0.162243,0.388383,0.762449,0.258086,0.0240606
0.86,0.567164,0.162447,0.389744,0.763544,0.25891,0.0252157
0.88,0.564215,0.163643,0.3913,0.764718,0.258647,0.0263974
0.9,0.559004,0.164395,0.389941,0.760625,0.257334,0.0276059
0.92,0.552139,0.165193,0.389894,0.75911,0.255244,0.028841
0.94,0.546747,0.163896,0.390102,0.757876,0.25382,0.0301027
0.96,0.546727,0.163274,0.392032,0.759736,0.25488,0.0313911
0.98,0.543927,0.164396,0.393204,0.760247,0.254638,0.0327059
1,0.538815,0.164095,0.391184,0.75452,0.253301,0.0340473
1.02,0.534736,0.165607,0.390985,0.752633,0.252438,0.0354152
1.04,0.529973,0.164422,0.389603,0.748578,0.251238,0.0368096
1.06,0.527946,0.164216,0.390307,0.748451,0.251325,0.0382303
1.08,0.52271,0.163608,0.389686,0.745924,0.249873,0.0396774
